Team1,Score,Team2,Competition,Map,Date,Page,Team 1 Score,Team 2 Score,Winning Team,Losing Team,Margin,Total Rounds,Game Type
Oceanus,16-12,ETHEREAL,ESEAAdvancedSeason32NorthAmerica,Nuke,2019-11-14,0,16,12,Oceanus,ETHEREAL,4,28,16
Oceanus,22-18,ETHEREAL,ESEAAdvancedSeason32NorthAmerica,Mirage,2019-11-14,0,22,18,Oceanus,ETHEREAL,4,40,22
DEFY,16-11,Faint,ESEAAdvancedSeason32NorthAmerica,Dust2,2019-11-14,0,16,11,DEFY,Faint,5,27,16
DEFY,5-16 ,Faint,ESEAAdvancedSeason32NorthAmerica,Nuke,2019-11-14,0,5,16,Faint,DEFY,11,21,16
DEFY,7-16 ,Faint,ESEAAdvancedSeason32NorthAmerica,Vertigo,2019-11-14,0,7,16,Faint,DEFY,9,23,16
ThunderLogic,3-16 ,timbermen,ESEAAdvancedSeason32NorthAmerica,Train,2019-11-14,0,3,16,timbermen,ThunderLogic,13,19,16
ThunderLogic,16-14,timbermen,ESEAAdvancedSeason32NorthAmerica,Mirage,2019-11-14,0,16,14,ThunderLogic,timbermen,2,30,16
ThunderLogic,16-8 ,timbermen,ESEAAdvancedSeason32NorthAmerica,Dust2,2019-11-14,0,16,8,ThunderLogic,timbermen,8,24,16
Singularity,16-12,DETONA,ESLProLeagueSeason10Americas,Overpass,2019-11-14,0,16,12,Singularity,DETONA,4,28,16
Singularity,10-16,DETONA,ESLProLeagueSeason10Americas,Dust2,2019-11-14,0,10,16,DETONA,Singularity,6,26,16
Singularity,19-17,DETONA,ESLProLeagueSeason10Americas,Train,2019-11-14,0,19,17,Singularity,DETONA,2,36,19
absolutemadlads,13-16,Rebirth,ESEAAdvancedSeason32NorthAmerica,Nuke,2019-11-14,0,13,16,Rebirth,absolutemadlads,3,29,16
absolutemadlads,10-16,Rebirth,ESEAAdvancedSeason32NorthAmerica,Mirage,2019-11-14,0,10,16,Rebirth,absolutemadlads,6,26,16
Absolute,11-16,Yalla,eXTREMESLAND2019AsiaFinals,mrg,2019-11-14,0,11,16,Yalla,Absolute,5,27,16
DrawntoFulfillment,11-16,iNTACT,ESEAAdvancedSeason32NorthAmerica,Nuke,2019-11-14,0,11,16,iNTACT,DrawntoFulfillment,5,27,16
DrawntoFulfillment,5-16 ,iNTACT,ESEAAdvancedSeason32NorthAmerica,Vertigo,2019-11-14,0,5,16,iNTACT,DrawntoFulfillment,11,21,16
TYLOO,16-7,Genuine,eXTREMESLAND2019AsiaFinals,d2,2019-11-14,0,16,7,TYLOO,Genuine,9,23,16
Precision,16-9 ,Clarity,ESEAAdvancedSeason32NorthAmerica,Nuke,2019-11-14,0,16,9,Precision,Clarity,7,25,16
Precision,16-8 ,Clarity,ESEAAdvancedSeason32NorthAmerica,Train,2019-11-14,0,16,8,Precision,Clarity,8,24,16
GorillaGang,16-10,GoodGamePR,ESEAAdvancedSeason32NorthAmerica,Inferno,2019-11-14,0,16,10,GorillaGang,GoodGamePR,6,26,16
GorillaGang,19-17,GoodGamePR,ESEAAdvancedSeason32NorthAmerica,Mirage,2019-11-14,0,19,17,GorillaGang,GoodGamePR,2,36,19
Isurus,12-16,Keyd,BrasileirãoSeason1,Nuke,2019-11-14,0,12,16,Keyd,Isurus,4,28,16
Isurus,13-16,Keyd,BrasileirãoSeason1,Inferno,2019-11-14,0,13,16,Keyd,Isurus,3,29,16
North,7-16 ,BIG,ESLProLeagueSeason10Europe,Mirage,2019-11-14,0,7,16,BIG,North,9,23,16
North,16-14,BIG,ESLProLeagueSeason10Europe,Train,2019-11-14,0,16,14,North,BIG,2,30,16
North,25-21,BIG,ESLProLeagueSeason10Europe,Nuke,2019-11-14,0,25,21,North,BIG,4,46,25
paiN,16-13,W7M,BrasileirãoSeason1,Overpass,2019-11-14,0,16,13,paiN,W7M,3,29,16
paiN,16-12,W7M,BrasileirãoSeason1,Train,2019-11-14,0,16,12,paiN,W7M,4,28,16
G2,16-11,NiP,ESLProLeagueSeason10Europe,Dust2,2019-11-13,0,16,11,G2,NiP,5,27,16
G2,13-16,NiP,ESLProLeagueSeason10Europe,Inferno,2019-11-13,0,13,16,NiP,G2,3,29,16
G2,8-16 ,NiP,ESLProLeagueSeason10Europe,Mirage,2019-11-13,0,8,16,NiP,G2,8,24,16
Spirit,13-16,HAVU,ESEAMDLSeason32Europe,Nuke,2019-11-13,0,13,16,HAVU,Spirit,3,29,16
