Team1,Score,Team2,Competition,Map
ViCi,1-2,ENCE,IEMBeijing2019,bo3
Astralis,2-0,100Thieves,IEMBeijing2019,bo3
Vitality,2-0,TYLOO,IEMBeijing2019,bo3
FaZe,2-0,EvilGeniuses,IEMBeijing2019,bo3
100Thieves,2-0,ENCE,IEMBeijing2019,bo3
Astralis,2-0,ViCi,IEMBeijing2019,bo3
AVANGAR,13-16,Tricked,ESEAMDLSeason32Europe,inf
MovistarRiders,7-16,pro100,ESEAMDLSeason32Europe,trn
Demise,12-16,CR4ZY,ESEAMDLSeason32Europe,inf
Spirit,16-10,Phoenix,ESEAMDLSeason32Europe,mrg
Tricked,22-20,Japaleno,ESEAMDLSeason32Europe,ovp
MovistarRiders,16-14,AGO,ESEAMDLSeason32Europe,inf
Spirit,16-14,AVANGAR,ESEAMDLSeason32Europe,mrg
PACT,7-16,Heretics,ESEAMDLSeason32Europe,nuke
Nemiga,16-8,Phoenix,ESEAMDLSeason32Europe,d2
Demise,6-16,pro100,ESEAMDLSeason32Europe,d2
AVANGAR,28-25,CR4ZY,ESEAMDLSeason32Europe,d2
AGO,16-11,Heretics,ESEAMDLSeason32Europe,vtg
GamerLegion,16-10,Heretics,ESEAMDLSeason32Europe,inf
Espada,4-16 ,Nemiga,SECTOR:MOSTBET,Nuke
Espada,11-16,Nemiga,SECTOR:MOSTBET,Dust2
Espada,11-16,Nemiga,SECTOR:MOSTBET,Dust2
CR4ZY,10-16,SMASH,UnitedMastersLeagueSeason2,Nuke
CR4ZY,7-16 ,SMASH,UnitedMastersLeagueSeason2,Inferno
CR4ZY,7-16 ,SMASH,UnitedMastersLeagueSeason2,Inferno
5POWER,0-1,LynnVision,EPICENTER2019ChinaQualifier,bo3
Chiefs,16-1 ,ORDER,ESEAMDLSeason32Australia,Mirage
Chiefs,16-3 ,ORDER,ESEAMDLSeason32Australia,Nuke
Chiefs,16-3 ,ORDER,ESEAMDLSeason32Australia,Nuke
PC419,1-0,catman,ESEAMDLSeason32Australia,bo3
Aster,6-16 ,EHOME,EPICENTER2019ChinaQualifier,Dust2
Aster,10-16,EHOME,EPICENTER2019ChinaQualifier,Mirage
Aster,10-16,EHOME,EPICENTER2019ChinaQualifier,Mirage
Genuine,16-9 ,SYF,ESEAMDLSeason32Australia,Train
Genuine,16-7 ,SYF,ESEAMDLSeason32Australia,Overpass
Genuine,16-7 ,SYF,ESEAMDLSeason32Australia,Overpass
Chiefs,16-8 ,PC419,ESEAMDLSeason32Australia,Dust2
Chiefs,16-14,PC419,ESEAMDLSeason32Australia,Mirage
Chiefs,16-14,PC419,ESEAMDLSeason32Australia,Mirage
D7G,5-16 ,EHOME,EPICENTER2019ChinaQualifier,Train
D7G,9-16 ,EHOME,EPICENTER2019ChinaQualifier,Mirage
D7G,9-16 ,EHOME,EPICENTER2019ChinaQualifier,Mirage
catman,0-1,ORDER,ESEAMDLSeason32Australia,bo3
Genuine,1-0,Grayhound,ESEAMDLSeason32Australia,bo3
GroundZero,0-1,SYF,ESEAMDLSeason32Australia,bo3
5POWER,16-3 ,OneThree,QiBanjaLuka2019-AsiaQualifier,Inferno
5POWER,16-10,OneThree,QiBanjaLuka2019-AsiaQualifier,Dust2
5POWER,16-10,OneThree,QiBanjaLuka2019-AsiaQualifier,Dust2
Invictus,16-4 ,MiTH.Maple,QiBanjaLuka2019-AsiaQualifier,Overpass
Invictus,16-9 ,MiTH.Maple,QiBanjaLuka2019-AsiaQualifier,Train
Invictus,16-9 ,MiTH.Maple,QiBanjaLuka2019-AsiaQualifier,Train
BushidoBoyz,4-16,LiviD,ESEAMDLSeason32NorthAmerica,ovp
Mythic,10-16,RiotSquad,ESEAMDLSeason32NorthAmerica,trn
Peeker'sAdvantage,16-7,JustSwing,ESEAMDLSeason32NorthAmerica,ovp
RapGang,7-16,BigFrames,ESEAMDLSeason32NorthAmerica,ovp
Peeker'sAdvantage,13-16,LiviD,ESEAMDLSeason32NorthAmerica,mrg
Ben'sAnimeTeam,16-10,INTZ,ESEAMDLSeason32NorthAmerica,mrg
Monstars,10-16,Ascent,ESEAMDLSeason32NorthAmerica,inf
TheQuest,16-4,JustSwing,ESEAMDLSeason32NorthAmerica,ovp
INTZ,16-9,RiotSquad,ESEAMDLSeason32NorthAmerica,trn
Peeker'sAdvantage,6-16,RapGang,ESEAMDLSeason32NorthAmerica,mrg
FATE,16-8 ,MovistarRiders,OMENAtlanticChallenge2019EuropeClosedQualifier,Mirage
FATE,14-16,MovistarRiders,OMENAtlanticChallenge2019EuropeClosedQualifier,Vertigo
FATE,16-13,MovistarRiders,OMENAtlanticChallenge2019EuropeClosedQualifier,Inferno
FATE,16-13,MovistarRiders,OMENAtlanticChallenge2019EuropeClosedQualifier,Inferno
BIG,16-12,Virtus.pro,UnitedMastersLeagueSeason2,Nuke
BIG,25-21,Virtus.pro,UnitedMastersLeagueSeason2,Overpass
BIG,25-21,Virtus.pro,UnitedMastersLeagueSeason2,Overpass
HardLegion,16-9 ,Giants,UnitedMastersLeagueSeason2,Overpass
HardLegion,4-16 ,Giants,UnitedMastersLeagueSeason2,Vertigo
HardLegion,13-16,Giants,UnitedMastersLeagueSeason2,Dust2
HardLegion,13-16,Giants,UnitedMastersLeagueSeason2,Dust2
Baecon,12-16,LDLC,OMENAtlanticChallenge2019EuropeClosedQualifier,Dust2
Baecon,5-16 ,LDLC,OMENAtlanticChallenge2019EuropeClosedQualifier,Nuke
Baecon,5-16 ,LDLC,OMENAtlanticChallenge2019EuropeClosedQualifier,Nuke
Heretics,10-16,Phoenix,ESEAMDLSeason32Europe,d2
Virtus.pro,16-14,PACT,ESEAMDLSeason32Europe,trn
pro100,16-12,Heretics,ESEAMDLSeason32Europe,nuke
MVPPK,4-16 ,AUGUST,QiBanjaLuka2019-AsiaQualifier,Train
MVPPK,16-14,AUGUST,QiBanjaLuka2019-AsiaQualifier,Inferno
MVPPK,14-16,AUGUST,QiBanjaLuka2019-AsiaQualifier,Overpass
MVPPK,14-16,AUGUST,QiBanjaLuka2019-AsiaQualifier,Overpass
Demise,17-19,Japaleno,ESEAMDLSeason32Europe,inf
HAVU,19-16,GamerLegion,ESEAMDLSeason32Europe,d2
PACT,3-16,Nemiga,ESEAMDLSeason32Europe,inf
Virtus.pro,10-16,forZe,ESEAMDLSeason32Europe,d2
pro100,16-9,GamerLegion,ESEAMDLSeason32Europe,d2
Tricked,0-1,Demise,ESEAMDLSeason32Europe,-
forZe,16-11,HAVU,ESEAMDLSeason32Europe,nuke
OneThree,16-10,5POWER,EPICENTER2019ChinaQualifier,Dust2
OneThree,16-9 ,5POWER,EPICENTER2019ChinaQualifier,Mirage
OneThree,16-9 ,5POWER,EPICENTER2019ChinaQualifier,Mirage
BOOT,13-16,AUGUST,QiBanjaLuka2019-AsiaQualifier,Mirage
BOOT,9-16 ,AUGUST,QiBanjaLuka2019-AsiaQualifier,Train
BOOT,9-16 ,AUGUST,QiBanjaLuka2019-AsiaQualifier,Train
5POWER,6-16 ,LynnVision,EPICENTER2019ChinaQualifier,Dust2
5POWER,16-14,LynnVision,EPICENTER2019ChinaQualifier,Inferno
5POWER,16-13,LynnVision,EPICENTER2019ChinaQualifier,Nuke
5POWER,16-13,LynnVision,EPICENTER2019ChinaQualifier,Nuke
MVPPK,16-13,LucidDream,QiBanjaLuka2019-AsiaQualifier,Mirage
MVPPK,16-12,LucidDream,QiBanjaLuka2019-AsiaQualifier,Inferno
MVPPK,16-12,LucidDream,QiBanjaLuka2019-AsiaQualifier,Inferno
Invictus,16-14,OneThree,EPICENTER2019ChinaQualifier,Mirage
Invictus,12-16,OneThree,EPICENTER2019ChinaQualifier,Nuke
Invictus,12-16,OneThree,EPICENTER2019ChinaQualifier,Nuke
TheQuest,16-7,BigFrames,ESEAMDLSeason32NorthAmerica,nuke
LiviD,12-16,JustSwing,ESEAMDLSeason32NorthAmerica,ovp
TheQuest,16-14,Ben'sAnimeTeam,ESEAMDLSeason32NorthAmerica,nuke
BushidoBoyz,11-16,RapGang,ESEAMDLSeason32NorthAmerica,mrg
DETONA,1-1,paiN,BrasileirãoSeason1,bo2
W7M,2-0,Isurus,BrasileirãoSeason1,bo2
Yalla,7-16 ,CopenhagenFlames,UnitedMastersLeagueSeason2,Overpass
Yalla,8-16 ,CopenhagenFlames,UnitedMastersLeagueSeason2,Inferno
Yalla,8-16 ,CopenhagenFlames,UnitedMastersLeagueSeason2,Inferno
MovistarRiders,16-11,Phoenix,ESEAMDLSeason32Europe,inf
PACT,16-1,AGO,ESEAMDLSeason32Europe,inf
Tricked,16-13,Spirit,ESEAMDLSeason32Europe,trn
PACT,7-16,MovistarRiders,ESEAMDLSeason32Europe,vtg
GamerLegion,16-6,AGO,ESEAMDLSeason32Europe,mrg
Demise,7-16,Phoenix,ESEAMDLSeason32Europe,mrg
forZe,28-31,Spirit,ESEAMDLSeason32Europe,mrg
HAVU,16-8,AGO,ESEAMDLSeason32Europe,nuke
GamerLegion,11-16,Aristocracy,UnitedMastersLeagueSeason2,Nuke
GamerLegion,16-13,Aristocracy,UnitedMastersLeagueSeason2,Overpass
GamerLegion,10-16,Aristocracy,UnitedMastersLeagueSeason2,Dust2
GamerLegion,10-16,Aristocracy,UnitedMastersLeagueSeason2,Dust2
forZe,11-16,Heretics,ESEAMDLSeason32Europe,mrg
HAVU,16-9,Illuminar,ESEAMDLSeason32Europe,mrg
Nemiga,9-16,forZe,ESEAMDLSeason32Europe,mrg
Aster,2-16 ,TYLOO,EPICENTER2019ChinaQualifier,Vertigo
Aster,10-16,TYLOO,EPICENTER2019ChinaQualifier,Mirage
Aster,10-16,TYLOO,EPICENTER2019ChinaQualifier,Mirage
ZOOWEEMAMA,6-16,Chiefs,ESEAMDLSeason32Australia,inf
EHOME,9-16 ,TYLOO,EPICENTER2019ChinaQualifier,Overpass
EHOME,8-16 ,TYLOO,EPICENTER2019ChinaQualifier,Train
EHOME,8-16 ,TYLOO,EPICENTER2019ChinaQualifier,Train
PC419,16-12,Jade,ESEAMDLSeason32Australia,d2
Bizarre,1-16,GroundZero,ESEAMDLSeason32Australia,inf
Aster,16-6 ,D7G,EPICENTER2019ChinaQualifier,Dust2
Aster,16-5 ,D7G,EPICENTER2019ChinaQualifier,Train
Aster,16-5 ,D7G,EPICENTER2019ChinaQualifier,Train
TheQuest,16-12,Rugratz,ESEAMDLSeason32NorthAmerica,inf
paiN,16-10,No2B,NESTPro:SAQualifier,Dust2
paiN,16-4 ,No2B,NESTPro:SAQualifier,Nuke
paiN,16-4 ,No2B,NESTPro:SAQualifier,Nuke
Alma,10-16,Keyd,NESTPro:SAQualifier,Overpass
Alma,8-16 ,Keyd,NESTPro:SAQualifier,Inferno
Alma,8-16 ,Keyd,NESTPro:SAQualifier,Inferno
BIG,18-22,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Overpass
BIG,16-12,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Train
BIG,19-17,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Dust2
BIG,19-17,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Dust2
DETONA,16-2 ,Evidence,OMENAtlanticChallenge2019BrazilQualifier,Dust2
DETONA,16-8 ,Evidence,OMENAtlanticChallenge2019BrazilQualifier,Mirage
DETONA,16-8 ,Evidence,OMENAtlanticChallenge2019BrazilQualifier,Mirage
SILENT,16-8 ,mYinsanity,SwisscomHeroLeagueSeason2,Mirage
SILENT,16-13,mYinsanity,SwisscomHeroLeagueSeason2,Overpass
SILENT,16-13,mYinsanity,SwisscomHeroLeagueSeason2,Overpass
Vilay,12-16,JESTE,A1AdriaLeagueSeason4,Inferno
Vilay,11-16,JESTE,A1AdriaLeagueSeason4,Mirage
Vilay,11-16,JESTE,A1AdriaLeagueSeason4,Mirage
Heretics,16-6 ,Phoenix,WePlay!ForgeofMastersSeason2,Inferno
Heretics,16-7 ,Phoenix,WePlay!ForgeofMastersSeason2,Mirage
Heretics,16-7 ,Phoenix,WePlay!ForgeofMastersSeason2,Mirage
INTZ.Academy,13-16,DETONA,OMENAtlanticChallenge2019BrazilQualifier,inf
Evidence,16-10,Skullz,OMENAtlanticChallenge2019BrazilQualifier,mrg
RedInstinct,13-16,Babos,SwisscomHeroLeagueSeason2,Mirage
RedInstinct,16-4 ,Babos,SwisscomHeroLeagueSeason2,Nuke
RedInstinct,16-12,Babos,SwisscomHeroLeagueSeason2,Overpass
RedInstinct,16-12,Babos,SwisscomHeroLeagueSeason2,Overpass
forZe,16-12,HAVU,UnitedMastersLeagueSeason2,Dust2
forZe,16-10,HAVU,UnitedMastersLeagueSeason2,Mirage
forZe,16-10,HAVU,UnitedMastersLeagueSeason2,Mirage
JESTE,16-7 ,Fantastic,A1AdriaLeagueSeason4,Inferno
JESTE,16-6 ,Fantastic,A1AdriaLeagueSeason4,Train
JESTE,16-6 ,Fantastic,A1AdriaLeagueSeason4,Train
Virtus.pro,6-16 ,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Overpass
Virtus.pro,25-23,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Train
Virtus.pro,10-16,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Mirage
Virtus.pro,10-16,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Mirage
CopenhagenFlames,16-12,Nemiga,WePlay!ForgeofMastersSeason2,Inferno
CopenhagenFlames,16-12,Nemiga,WePlay!ForgeofMastersSeason2,Overpass
CopenhagenFlames,16-12,Nemiga,WePlay!ForgeofMastersSeason2,Overpass
Isurus,8-16,INTZ.Academy,OMENAtlanticChallenge2019BrazilQualifier,d2
REDCanids,11-16,DETONA,OMENAtlanticChallenge2019BrazilQualifier,trn
Evidence,16-14,Lowkey,OMENAtlanticChallenge2019BrazilQualifier,d2
ViCi,1-2,ENCE,IEMBeijing2019,bo3
Astralis,2-0,100Thieves,IEMBeijing2019,bo3
Vitality,2-0,TYLOO,IEMBeijing2019,bo3
FaZe,2-0,EvilGeniuses,IEMBeijing2019,bo3
100Thieves,2-0,ENCE,IEMBeijing2019,bo3
Astralis,2-0,ViCi,IEMBeijing2019,bo3
AVANGAR,13-16,Tricked,ESEAMDLSeason32Europe,inf
MovistarRiders,7-16,pro100,ESEAMDLSeason32Europe,trn
Demise,12-16,CR4ZY,ESEAMDLSeason32Europe,inf
Spirit,16-10,Phoenix,ESEAMDLSeason32Europe,mrg
Tricked,22-20,Japaleno,ESEAMDLSeason32Europe,ovp
MovistarRiders,16-14,AGO,ESEAMDLSeason32Europe,inf
Spirit,16-14,AVANGAR,ESEAMDLSeason32Europe,mrg
PACT,7-16,Heretics,ESEAMDLSeason32Europe,nuke
Nemiga,16-8,Phoenix,ESEAMDLSeason32Europe,d2
Demise,6-16,pro100,ESEAMDLSeason32Europe,d2
AVANGAR,28-25,CR4ZY,ESEAMDLSeason32Europe,d2
AGO,16-11,Heretics,ESEAMDLSeason32Europe,vtg
GamerLegion,16-10,Heretics,ESEAMDLSeason32Europe,inf
Espada,4-16 ,Nemiga,SECTOR:MOSTBET,Nuke
Espada,11-16,Nemiga,SECTOR:MOSTBET,Dust2
Espada,11-16,Nemiga,SECTOR:MOSTBET,Dust2
CR4ZY,10-16,SMASH,UnitedMastersLeagueSeason2,Nuke
CR4ZY,7-16 ,SMASH,UnitedMastersLeagueSeason2,Inferno
CR4ZY,7-16 ,SMASH,UnitedMastersLeagueSeason2,Inferno
5POWER,0-1,LynnVision,EPICENTER2019ChinaQualifier,bo3
Chiefs,16-1 ,ORDER,ESEAMDLSeason32Australia,Mirage
Chiefs,16-3 ,ORDER,ESEAMDLSeason32Australia,Nuke
Chiefs,16-3 ,ORDER,ESEAMDLSeason32Australia,Nuke
PC419,1-0,catman,ESEAMDLSeason32Australia,bo3
Aster,6-16 ,EHOME,EPICENTER2019ChinaQualifier,Dust2
Aster,10-16,EHOME,EPICENTER2019ChinaQualifier,Mirage
Aster,10-16,EHOME,EPICENTER2019ChinaQualifier,Mirage
Genuine,16-9 ,SYF,ESEAMDLSeason32Australia,Train
Genuine,16-7 ,SYF,ESEAMDLSeason32Australia,Overpass
Genuine,16-7 ,SYF,ESEAMDLSeason32Australia,Overpass
Chiefs,16-8 ,PC419,ESEAMDLSeason32Australia,Dust2
Chiefs,16-14,PC419,ESEAMDLSeason32Australia,Mirage
Chiefs,16-14,PC419,ESEAMDLSeason32Australia,Mirage
D7G,5-16 ,EHOME,EPICENTER2019ChinaQualifier,Train
D7G,9-16 ,EHOME,EPICENTER2019ChinaQualifier,Mirage
D7G,9-16 ,EHOME,EPICENTER2019ChinaQualifier,Mirage
catman,0-1,ORDER,ESEAMDLSeason32Australia,bo3
Genuine,1-0,Grayhound,ESEAMDLSeason32Australia,bo3
GroundZero,0-1,SYF,ESEAMDLSeason32Australia,bo3
5POWER,16-3 ,OneThree,QiBanjaLuka2019-AsiaQualifier,Inferno
5POWER,16-10,OneThree,QiBanjaLuka2019-AsiaQualifier,Dust2
5POWER,16-10,OneThree,QiBanjaLuka2019-AsiaQualifier,Dust2
Invictus,16-4 ,MiTH.Maple,QiBanjaLuka2019-AsiaQualifier,Overpass
Invictus,16-9 ,MiTH.Maple,QiBanjaLuka2019-AsiaQualifier,Train
Invictus,16-9 ,MiTH.Maple,QiBanjaLuka2019-AsiaQualifier,Train
BushidoBoyz,4-16,LiviD,ESEAMDLSeason32NorthAmerica,ovp
Mythic,10-16,RiotSquad,ESEAMDLSeason32NorthAmerica,trn
Peeker'sAdvantage,16-7,JustSwing,ESEAMDLSeason32NorthAmerica,ovp
RapGang,7-16,BigFrames,ESEAMDLSeason32NorthAmerica,ovp
Peeker'sAdvantage,13-16,LiviD,ESEAMDLSeason32NorthAmerica,mrg
Ben'sAnimeTeam,16-10,INTZ,ESEAMDLSeason32NorthAmerica,mrg
Monstars,10-16,Ascent,ESEAMDLSeason32NorthAmerica,inf
TheQuest,16-4,JustSwing,ESEAMDLSeason32NorthAmerica,ovp
INTZ,16-9,RiotSquad,ESEAMDLSeason32NorthAmerica,trn
Peeker'sAdvantage,6-16,RapGang,ESEAMDLSeason32NorthAmerica,mrg
FATE,16-8 ,MovistarRiders,OMENAtlanticChallenge2019EuropeClosedQualifier,Mirage
FATE,14-16,MovistarRiders,OMENAtlanticChallenge2019EuropeClosedQualifier,Vertigo
FATE,16-13,MovistarRiders,OMENAtlanticChallenge2019EuropeClosedQualifier,Inferno
FATE,16-13,MovistarRiders,OMENAtlanticChallenge2019EuropeClosedQualifier,Inferno
BIG,16-12,Virtus.pro,UnitedMastersLeagueSeason2,Nuke
BIG,25-21,Virtus.pro,UnitedMastersLeagueSeason2,Overpass
BIG,25-21,Virtus.pro,UnitedMastersLeagueSeason2,Overpass
HardLegion,16-9 ,Giants,UnitedMastersLeagueSeason2,Overpass
HardLegion,4-16 ,Giants,UnitedMastersLeagueSeason2,Vertigo
HardLegion,13-16,Giants,UnitedMastersLeagueSeason2,Dust2
HardLegion,13-16,Giants,UnitedMastersLeagueSeason2,Dust2
Baecon,12-16,LDLC,OMENAtlanticChallenge2019EuropeClosedQualifier,Dust2
Baecon,5-16 ,LDLC,OMENAtlanticChallenge2019EuropeClosedQualifier,Nuke
Baecon,5-16 ,LDLC,OMENAtlanticChallenge2019EuropeClosedQualifier,Nuke
Heretics,10-16,Phoenix,ESEAMDLSeason32Europe,d2
Virtus.pro,16-14,PACT,ESEAMDLSeason32Europe,trn
pro100,16-12,Heretics,ESEAMDLSeason32Europe,nuke
MVPPK,4-16 ,AUGUST,QiBanjaLuka2019-AsiaQualifier,Train
MVPPK,16-14,AUGUST,QiBanjaLuka2019-AsiaQualifier,Inferno
MVPPK,14-16,AUGUST,QiBanjaLuka2019-AsiaQualifier,Overpass
MVPPK,14-16,AUGUST,QiBanjaLuka2019-AsiaQualifier,Overpass
Demise,17-19,Japaleno,ESEAMDLSeason32Europe,inf
HAVU,19-16,GamerLegion,ESEAMDLSeason32Europe,d2
PACT,3-16,Nemiga,ESEAMDLSeason32Europe,inf
Virtus.pro,10-16,forZe,ESEAMDLSeason32Europe,d2
pro100,16-9,GamerLegion,ESEAMDLSeason32Europe,d2
Tricked,0-1,Demise,ESEAMDLSeason32Europe,-
forZe,16-11,HAVU,ESEAMDLSeason32Europe,nuke
OneThree,16-10,5POWER,EPICENTER2019ChinaQualifier,Dust2
OneThree,16-9 ,5POWER,EPICENTER2019ChinaQualifier,Mirage
OneThree,16-9 ,5POWER,EPICENTER2019ChinaQualifier,Mirage
BOOT,13-16,AUGUST,QiBanjaLuka2019-AsiaQualifier,Mirage
BOOT,9-16 ,AUGUST,QiBanjaLuka2019-AsiaQualifier,Train
BOOT,9-16 ,AUGUST,QiBanjaLuka2019-AsiaQualifier,Train
5POWER,6-16 ,LynnVision,EPICENTER2019ChinaQualifier,Dust2
5POWER,16-14,LynnVision,EPICENTER2019ChinaQualifier,Inferno
5POWER,16-13,LynnVision,EPICENTER2019ChinaQualifier,Nuke
5POWER,16-13,LynnVision,EPICENTER2019ChinaQualifier,Nuke
MVPPK,16-13,LucidDream,QiBanjaLuka2019-AsiaQualifier,Mirage
MVPPK,16-12,LucidDream,QiBanjaLuka2019-AsiaQualifier,Inferno
MVPPK,16-12,LucidDream,QiBanjaLuka2019-AsiaQualifier,Inferno
Invictus,16-14,OneThree,EPICENTER2019ChinaQualifier,Mirage
Invictus,12-16,OneThree,EPICENTER2019ChinaQualifier,Nuke
Invictus,12-16,OneThree,EPICENTER2019ChinaQualifier,Nuke
TheQuest,16-7,BigFrames,ESEAMDLSeason32NorthAmerica,nuke
LiviD,12-16,JustSwing,ESEAMDLSeason32NorthAmerica,ovp
TheQuest,16-14,Ben'sAnimeTeam,ESEAMDLSeason32NorthAmerica,nuke
BushidoBoyz,11-16,RapGang,ESEAMDLSeason32NorthAmerica,mrg
DETONA,1-1,paiN,BrasileirãoSeason1,bo2
W7M,2-0,Isurus,BrasileirãoSeason1,bo2
Yalla,7-16 ,CopenhagenFlames,UnitedMastersLeagueSeason2,Overpass
Yalla,8-16 ,CopenhagenFlames,UnitedMastersLeagueSeason2,Inferno
Yalla,8-16 ,CopenhagenFlames,UnitedMastersLeagueSeason2,Inferno
MovistarRiders,16-11,Phoenix,ESEAMDLSeason32Europe,inf
PACT,16-1,AGO,ESEAMDLSeason32Europe,inf
Tricked,16-13,Spirit,ESEAMDLSeason32Europe,trn
PACT,7-16,MovistarRiders,ESEAMDLSeason32Europe,vtg
GamerLegion,16-6,AGO,ESEAMDLSeason32Europe,mrg
Demise,7-16,Phoenix,ESEAMDLSeason32Europe,mrg
forZe,28-31,Spirit,ESEAMDLSeason32Europe,mrg
HAVU,16-8,AGO,ESEAMDLSeason32Europe,nuke
GamerLegion,11-16,Aristocracy,UnitedMastersLeagueSeason2,Nuke
GamerLegion,16-13,Aristocracy,UnitedMastersLeagueSeason2,Overpass
GamerLegion,10-16,Aristocracy,UnitedMastersLeagueSeason2,Dust2
GamerLegion,10-16,Aristocracy,UnitedMastersLeagueSeason2,Dust2
forZe,11-16,Heretics,ESEAMDLSeason32Europe,mrg
HAVU,16-9,Illuminar,ESEAMDLSeason32Europe,mrg
Nemiga,9-16,forZe,ESEAMDLSeason32Europe,mrg
Aster,2-16 ,TYLOO,EPICENTER2019ChinaQualifier,Vertigo
Aster,10-16,TYLOO,EPICENTER2019ChinaQualifier,Mirage
Aster,10-16,TYLOO,EPICENTER2019ChinaQualifier,Mirage
ZOOWEEMAMA,6-16,Chiefs,ESEAMDLSeason32Australia,inf
EHOME,9-16 ,TYLOO,EPICENTER2019ChinaQualifier,Overpass
EHOME,8-16 ,TYLOO,EPICENTER2019ChinaQualifier,Train
EHOME,8-16 ,TYLOO,EPICENTER2019ChinaQualifier,Train
PC419,16-12,Jade,ESEAMDLSeason32Australia,d2
Bizarre,1-16,GroundZero,ESEAMDLSeason32Australia,inf
Aster,16-6 ,D7G,EPICENTER2019ChinaQualifier,Dust2
Aster,16-5 ,D7G,EPICENTER2019ChinaQualifier,Train
Aster,16-5 ,D7G,EPICENTER2019ChinaQualifier,Train
TheQuest,16-12,Rugratz,ESEAMDLSeason32NorthAmerica,inf
paiN,16-10,No2B,NESTPro:SAQualifier,Dust2
paiN,16-4 ,No2B,NESTPro:SAQualifier,Nuke
paiN,16-4 ,No2B,NESTPro:SAQualifier,Nuke
Alma,10-16,Keyd,NESTPro:SAQualifier,Overpass
Alma,8-16 ,Keyd,NESTPro:SAQualifier,Inferno
Alma,8-16 ,Keyd,NESTPro:SAQualifier,Inferno
BIG,18-22,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Overpass
BIG,16-12,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Train
BIG,19-17,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Dust2
BIG,19-17,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Dust2
DETONA,16-2 ,Evidence,OMENAtlanticChallenge2019BrazilQualifier,Dust2
DETONA,16-8 ,Evidence,OMENAtlanticChallenge2019BrazilQualifier,Mirage
DETONA,16-8 ,Evidence,OMENAtlanticChallenge2019BrazilQualifier,Mirage
SILENT,16-8 ,mYinsanity,SwisscomHeroLeagueSeason2,Mirage
SILENT,16-13,mYinsanity,SwisscomHeroLeagueSeason2,Overpass
SILENT,16-13,mYinsanity,SwisscomHeroLeagueSeason2,Overpass
Vilay,12-16,JESTE,A1AdriaLeagueSeason4,Inferno
Vilay,11-16,JESTE,A1AdriaLeagueSeason4,Mirage
Vilay,11-16,JESTE,A1AdriaLeagueSeason4,Mirage
Heretics,16-6 ,Phoenix,WePlay!ForgeofMastersSeason2,Inferno
Heretics,16-7 ,Phoenix,WePlay!ForgeofMastersSeason2,Mirage
Heretics,16-7 ,Phoenix,WePlay!ForgeofMastersSeason2,Mirage
INTZ.Academy,13-16,DETONA,OMENAtlanticChallenge2019BrazilQualifier,inf
Evidence,16-10,Skullz,OMENAtlanticChallenge2019BrazilQualifier,mrg
RedInstinct,13-16,Babos,SwisscomHeroLeagueSeason2,Mirage
RedInstinct,16-4 ,Babos,SwisscomHeroLeagueSeason2,Nuke
RedInstinct,16-12,Babos,SwisscomHeroLeagueSeason2,Overpass
RedInstinct,16-12,Babos,SwisscomHeroLeagueSeason2,Overpass
forZe,16-12,HAVU,UnitedMastersLeagueSeason2,Dust2
forZe,16-10,HAVU,UnitedMastersLeagueSeason2,Mirage
forZe,16-10,HAVU,UnitedMastersLeagueSeason2,Mirage
JESTE,16-7 ,Fantastic,A1AdriaLeagueSeason4,Inferno
JESTE,16-6 ,Fantastic,A1AdriaLeagueSeason4,Train
JESTE,16-6 ,Fantastic,A1AdriaLeagueSeason4,Train
Virtus.pro,6-16 ,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Overpass
Virtus.pro,25-23,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Train
Virtus.pro,10-16,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Mirage
Virtus.pro,10-16,GamerLegion,DreamHackOpenSevilla2019EuropeClosedQualifier,Mirage
CopenhagenFlames,16-12,Nemiga,WePlay!ForgeofMastersSeason2,Inferno
CopenhagenFlames,16-12,Nemiga,WePlay!ForgeofMastersSeason2,Overpass
CopenhagenFlames,16-12,Nemiga,WePlay!ForgeofMastersSeason2,Overpass
Isurus,8-16,INTZ.Academy,OMENAtlanticChallenge2019BrazilQualifier,d2
REDCanids,11-16,DETONA,OMENAtlanticChallenge2019BrazilQualifier,trn
Evidence,16-14,Lowkey,OMENAtlanticChallenge2019BrazilQualifier,d2
CSGOGYN,11-16,Skullz,OMENAtlanticChallenge2019BrazilQualifier,trn
